订单编号,下单时间,pay_time,商品编码,商品名称,品类,quantity,unit_price,total_amount,discount_amount,actual_pay_amount,订单状态,buyer_province,是否新客,优惠券名称
微20250701000784,2025-07-01 11:18:00,2025-07-01 11:18:00,SKU_美_007,美妆商品12,美妆,3,107.93,323.79,11.26,312.53,已完成,江苏,False,
微20250701000785,2025-07-01 21:50:00,2025-07-01 21:50:00,SKU_美_002,美妆商品38,美妆,2,126.17,252.34,25.62,226.72,已完成,四川,False,新人首单立减20
微20250701000786,2025-07-01 20:12:00,2025-07-01 20:12:00,SKU_美_011,美妆商品32,美妆,2,128.19,256.38,4.39,251.99,已完成,上海,False,
微20250701000787,2025-07-01 18:28:00,2025-07-01 18:28:00,SKU_美_010,美妆商品46,美妆,1,135.19,135.19,2.11,133.08,已完成,江苏,False,
微20250701000788,2025-07-01 21:13:00,,SKU_美_014,美妆商品42,美妆,1,161.03,161.03,21.21,139.82,已取消,山东,False,
微20250701000789,2025-07-01 20:10:00,2025-07-01 20:10:00,SKU_美_018,美妆商品38,美妆,2,134.05,268.1,15.65,252.45,已完成,江苏,False,品类优惠券
微20250701000790,2025-07-01 21:13:00,2025-07-01 21:13:00,SKU_美_004,美妆商品46,美妆,1,140.15,140.15,10.96,129.19,已完成,湖北,False,品类优惠券
微20250701000791,2025-07-01 16:43:00,2025-07-01 16:43:00,SKU_美_013,美妆商品14,美妆,2,129.39,258.78,12.42,246.36,已完成,山东,False,
微20250701000792,2025-07-01 11:32:00,2025-07-01 11:32:00,SKU_美_016,美妆商品37,美妆,1,143.91,143.91,10.48,133.43,待发货,上海,False,品类优惠券
微20250701000793,2025-07-01 21:23:00,2025-07-01 21:23:00,SKU_美_019,美妆商品29,美妆,2,139.23,278.46,28.28,250.18,已完成,上海,False,
微20250701000794,2025-07-01 17:22:00,2025-07-01 17:22:00,SKU_美_013,美妆商品32,美妆,2,146.46,292.92,25.7,267.22,已完成,山东,False,
微20250701000795,2025-07-01 19:57:00,2025-07-01 19:57:00,SKU_美_008,美妆商品41,美妆,1,153.52,153.52,17.56,135.96,待发货,江苏,False,新人首单立减20
微20250701000796,2025-07-01 14:55:00,2025-07-01 14:55:00,SKU_美_009,美妆商品9,美妆,2,141.01,282.02,33.89,248.13,已完成,山东,False,品类优惠券
微20250701000797,2025-07-01 22:21:00,2025-07-01 22:21:00,SKU_美_016,美妆商品2,美妆,2,121.4,242.8,28.94,213.86,已完成,湖北,False,品类优惠券
微20250701000798,2025-07-01 12:52:00,2025-07-01 12:52:00,SKU_美_019,美妆商品41,美妆,3,116.77,350.31,51.58,298.73,待发货,四川,False,
微20250701000799,2025-07-01 08:00:00,,SKU_美_006,美妆商品41,美妆,2,125.31,250.62,22.56,228.06,已取消,上海,False,
微20250701000800,2025-07-01 15:34:00,2025-07-01 15:34:00,SKU_美_011,美妆商品33,美妆,2,153.26,306.52,21.66,284.86,已完成,广东,False,满200减30
微20250701000801,2025-07-01 12:07:00,2025-07-01 12:07:00,SKU_美_015,美妆商品45,美妆,2,133.25,266.5,26.54,239.96,已完成,广东,False,满200减30
微20250701000802,2025-07-01 21:31:00,2025-07-01 21:31:00,SKU_美_002,美妆商品25,美妆,2,143.33,286.66,24.4,262.26,已完成,山东,False,
微20250701000803,2025-07-01 19:09:00,2025-07-01 19:09:00,SKU_美_016,美妆商品48,美妆,1,151.5,151.5,9.67,141.83,待发货,浙江,False,
微20250701000804,2025-07-01 20:23:00,2025-07-01 20:23:00,SKU_美_014,美妆商品19,美妆,1,127.0,127.0,13.91,113.09,已完成,四川,False,
微20250701000805,2025-07-01 20:15:00,2025-07-01 20:15:00,SKU_美_001,美妆商品2,美妆,1,149.59,149.59,3.09,146.5,已完成,江苏,False,
