日期,品类,流量来源,访客数,浏览量,平均停留时长(秒),跳失率,加购人数,支付买家数,支付转化率,支付订单数,支付金额,支付件数,退款订单数,退款金额,客单价,件单价
2025-07-01,服装,付费推广,535,1351,85.3,0.5164,72,15,0.028,59,9952.2,77,2,332.62,168.68,129.25
2025-07-01,服装,推荐,483,1665,52.8,0.5461,77,15,0.0311,59,9952.2,77,2,332.62,168.68,129.25
2025-07-01,服装,直接访问,222,532,69.9,0.4464,38,7,0.0315,59,9952.2,77,2,332.62,168.68,129.25
2025-07-01,服装,直播,323,743,102.3,0.4377,47,10,0.031,59,9952.2,77,2,332.62,168.68,129.25
2025-07-01,服装,自然搜索,662,1780,50.0,0.3603,107,21,0.0317,59,9952.2,77,2,332.62,168.68,129.25
2025-07-01,电子,付费推广,449,1242,52.7,0.3485,81,10,0.0223,31,10230.25,48,1,291.09,330.01,213.13
2025-07-01,电子,推荐,351,986,90.6,0.4668,68,7,0.0199,31,10230.25,48,1,291.09,330.01,213.13
2025-07-01,电子,直接访问,192,508,52.7,0.3467,32,4,0.0208,31,10230.25,48,1,291.09,330.01,213.13
2025-07-01,电子,直播,269,918,109.0,0.3758,50,6,0.0223,31,10230.25,48,1,291.09,330.01,213.13
2025-07-01,电子,自然搜索,531,1305,54.2,0.4033,89,10,0.0188,31,10230.25,48,1,291.09,330.01,213.13
2025-07-01,美妆,付费推广,729,2363,118.4,0.3501,111,28,0.0384,128,17821.15,159,8,1060.53,139.23,112.08
2025-07-01,美妆,推荐,631,1726,52.8,0.4008,106,26,0.0412,128,17821.15,159,8,1060.53,139.23,112.08
2025-07-01,美妆,直接访问,317,985,72.4,0.3234,54,10,0.0315,128,17821.15,159,8,1060.53,139.23,112.08
2025-07-01,美妆,直播,436,1124,76.6,0.5277,58,19,0.0436,128,17821.15,159,8,1060.53,139.23,112.08
2025-07-01,美妆,自然搜索,870,1956,68.4,0.3131,149,33,0.0379,128,17821.15,159,8,1060.53,139.23,112.08
2025-07-01,食品,付费推广,632,2057,89.6,0.4908,78,31,0.0491,132,7733.67,186,6,283.01,58.59,41.58
2025-07-01,食品,推荐,523,1454,99.2,0.539,91,26,0.0497,132,7733.67,186,6,283.01,58.59,41.58
2025-07-01,食品,直接访问,264,717,94.9,0.3745,51,9,0.0341,132,7733.67,186,6,283.01,58.59,41.58
2025-07-01,食品,直播,365,911,51.4,0.4882,69,18,0.0493,132,7733.67,186,6,283.01,58.59,41.58
2025-07-01,食品,自然搜索,859,2420,103.6,0.4245,124,40,0.0466,132,7733.67,186,6,283.01,58.59,41.58
2025-07-02,服装,付费推广,524,1497,92.9,0.4463,77,18,0.0344,62,10431.5,80,2,319.44,168.25,130.39
2025-07-02,服装,推荐,407,1160,74.6,0.4012,74,12,0.0295,62,10431.5,80,2,319.44,168.25,130.39
2025-07-02,服装,直接访问,211,516,91.4,0.5473,26,6,0.0284,62,10431.5,80,2,319.44,168.25,130.39
2025-07-02,服装,直播,326,988,55.9,0.3298,45,10,0.0307,62,10431.5,80,2,319.44,168.25,130.39
2025-07-02,服装,自然搜索,688,1768,105.1,0.3141,95,18,0.0262,62,10431.5,80,2,319.44,168.25,130.39
2025-07-02,电子,付费推广,410,1126,57.7,0.3993,75,9,0.022,36,11273.12,45,2,587.69,313.14,250.51
2025-07-02,电子,推荐,338,837,58.8,0.3324,63,7,0.0207,36,11273.12,45,2,587.69,313.14,250.51
2025-07-02,电子,直接访问,160,548,72.9,0.4517,24,4,0.025,36,11273.12,45,2,587.69,313.14,250.51
2025-07-02,电子,直播,229,673,55.5,0.3181,43,5,0.0218,36,11273.12,45,2,587.69,313.14,250.51
2025-07-02,电子,自然搜索,460,1094,84.7,0.4009,71,11,0.0239,36,11273.12,45,2,587.69,313.14,250.51
2025-07-02,美妆,付费推广,950,2572,57.0,0.3774,141,34,0.0358,133,18784.49,178,8,1106.64,141.24,105.53
2025-07-02,美妆,推荐,689,1536,69.6,0.3319,95,27,0.0392,133,18784.49,178,8,1106.64,141.24,105.53
2025-07-02,美妆,直接访问,376,863,95.1,0.3849,49,15,0.0399,133,18784.49,178,8,1106.64,141.24,105.53
2025-07-02,美妆,直播,567,1738,82.2,0.3484,81,17,0.03,133,18784.49,178,8,1106.64,141.24,105.53
2025-07-02,美妆,自然搜索,1055,2570,100.0,0.3491,133,38,0.036,133,18784.49,178,8,1106.64,141.24,105.53
2025-07-02,食品,付费推广,649,1937,68.0,0.4199,89,26,0.0401,133,7794.18,164,5,287.07,58.6,47.53
2025-07-02,食品,推荐,581,1769,52.7,0.5177,107,23,0.0396,133,7794.18,164,5,287.07,58.6,47.53
2025-07-02,食品,直接访问,273,741,96.7,0.3032,43,14,0.0513,133,7794.18,164,5,287.07,58.6,47.53
2025-07-02,食品,直播,398,1348,76.1,0.3959,59,22,0.0553,133,7794.18,164,5,287.07,58.6,47.53
2025-07-02,食品,自然搜索,777,2366,87.5,0.4093,100,43,0.0553,133,7794.18,164,5,287.07,58.6,47.53
2025-07-03,服装,付费推广,446,1441,74.3,0.5433,84,13,0.0291,67,11475.0,105,4,624.01,171.27,109.29
2025-07-03,服装,推荐,356,1110,73.5,0.3586,54,11,0.0309,67,11475.0,105,4,624.01,171.27,109.29
2025-07-03,服装,直接访问,192,560,68.0,0.5372,32,6,0.0312,67,11475.0,105,4,624.01,171.27,109.29
2025-07-03,服装,直播,318,810,99.4,0.4127,39,9,0.0283,67,11475.0,105,4,624.01,171.27,109.29
2025-07-03,服装,自然搜索,583,1893,95.0,0.3614,86,18,0.0309,67,11475.0,105,4,624.01,171.27,109.29
2025-07-03,电子,付费推广,375,1160,68.0,0.4734,67,6,0.016,34,11422.25,42,1,305.66,335.95,271.96
2025-07-03,电子,推荐,297,951,112.6,0.4245,46,8,0.0269,34,11422.25,42,1,305.66,335.95,271.96
2025-07-03,电子,直接访问,153,495,66.1,0.4015,23,3,0.0196,34,11422.25,42,1,305.66,335.95,271.96
2025-07-03,电子,直播,195,641,94.6,0.3553,30,4,0.0205,34,11422.25,42,1,305.66,335.95,271.96
2025-07-03,电子,自然搜索,411,1016,113.6,0.3261,64,8,0.0195,34,11422.25,42,1,305.66,335.95,271.96
2025-07-03,美妆,付费推广,761,2253,94.9,0.5253,113,29,0.0381,144,20970.97,214,11,1446.98,145.63,98.0
2025-07-03,美妆,推荐,660,1691,87.1,0.4673,126,24,0.0364,144,20970.97,214,11,1446.98,145.63,98.0
2025-07-03,美妆,直接访问,324,776,111.5,0.3787,39,13,0.0401,144,20970.97,214,11,1446.98,145.63,98.0
2025-07-03,美妆,直播,425,1145,93.7,0.4822,55,13,0.0306,144,20970.97,214,11,1446.98,145.63,98.0
2025-07-03,美妆,自然搜索,961,2859,68.4,0.3305,141,36,0.0375,144,20970.97,214,11,1446.98,145.63,98.0
2025-07-03,食品,付费推广,667,2319,86.1,0.3384,128,28,0.042,135,7682.35,185,4,183.25,56.91,41.53
2025-07-03,食品,推荐,466,1442,104.9,0.4133,85,21,0.0451,135,7682.35,185,4,183.25,56.91,41.53
2025-07-03,食品,直接访问,261,858,66.0,0.3685,44,10,0.0383,135,7682.35,185,4,183.25,56.91,41.53
2025-07-03,食品,直播,402,1280,99.6,0.3501,71,20,0.0498,135,7682.35,185,4,183.25,56.91,41.53
2025-07-03,食品,自然搜索,756,1693,52.3,0.4051,107,32,0.0423,135,7682.35,185,4,183.25,56.91,41.53
2025-07-04,服装,付费推广,485,1311,54.9,0.4694,91,13,0.0268,61,9967.96,91,3,402.1,163.41,109.54
2025-07-04,服装,推荐,427,1062,103.4,0.4283,81,10,0.0234,61,9967.96,91,3,402.1,163.41,109.54
2025-07-04,服装,直接访问,205,676,78.2,0.5268,24,4,0.0195,61,9967.96,91,3,402.1,163.41,109.54
2025-07-04,服装,直播,278,736,68.9,0.4921,34,7,0.0252,61,9967.96,91,3,402.1,163.41,109.54
2025-07-04,服装,自然搜索,600,2036,81.4,0.3686,115,19,0.0317,61,9967.96,91,3,402.1,163.41,109.54
2025-07-04,电子,付费推广,429,1270,77.9,0.4284,74,10,0.0233,35,10898.52,49,1,304.39,311.39,222.42
2025-07-04,电子,推荐,293,891,54.7,0.4484,51,5,0.0171,35,10898.52,49,1,304.39,311.39,222.42
2025-07-04,电子,直接访问,168,550,112.8,0.464,22,3,0.0179,35,10898.52,49,1,304.39,311.39,222.42
2025-07-04,电子,直播,254,682,56.7,0.5286,38,5,0.0197,35,10898.52,49,1,304.39,311.39,222.42
2025-07-04,电子,自然搜索,483,1265,112.1,0.4177,63,10,0.0207,35,10898.52,49,1,304.39,311.39,222.42
2025-07-04,美妆,付费推广,726,2421,95.8,0.5391,124,27,0.0372,130,17869.96,185,8,978.38,137.46,96.59
2025-07-04,美妆,推荐,655,1518,106.7,0.3338,88,22,0.0336,130,17869.96,185,8,978.38,137.46,96.59
2025-07-04,美妆,直接访问,309,1056,118.5,0.5486,41,12,0.0388,130,17869.96,185,8,978.38,137.46,96.59
2025-07-04,美妆,直播,420,1059,115.2,0.4801,81,17,0.0405,130,17869.96,185,8,978.38,137.46,96.59
2025-07-04,美妆,自然搜索,895,1986,69.7,0.4109,123,26,0.0291,130,17869.96,185,8,978.38,137.46,96.59
2025-07-04,食品,付费推广,542,1709,95.6,0.4782,73,25,0.0461,121,6762.36,181,8,428.29,55.89,37.36
2025-07-04,食品,推荐,462,1524,79.8,0.4344,61,17,0.0368,121,6762.36,181,8,428.29,55.89,37.36
2025-07-04,食品,直接访问,210,583,97.6,0.4588,38,8,0.0381,121,6762.36,181,8,428.29,55.89,37.36
2025-07-04,食品,直播,362,946,116.9,0.5308,50,18,0.0497,121,6762.36,181,8,428.29,55.89,37.36
2025-07-04,食品,自然搜索,673,1851,69.6,0.5431,97,32,0.0475,121,6762.36,181,8,428.29,55.89,37.36
2025-07-05,服装,付费推广,516,1462,70.2,0.3216,97,15,0.0291,62,10394.34,89,2,275.86,167.65,116.79
2025-07-05,服装,推荐,471,1119,65.6,0.4794,87,13,0.0276,62,10394.34,89,2,275.86,167.65,116.79
2025-07-05,服装,直接访问,245,707,82.3,0.3815,39,7,0.0286,62,10394.34,89,2,275.86,167.65,116.79
2025-07-05,服装,直播,368,990,105.4,0.3811,61,13,0.0353,62,10394.34,89,2,275.86,167.65,116.79
2025-07-05,服装,自然搜索,664,2306,92.9,0.4082,91,19,0.0286,62,10394.34,89,2,275.86,167.65,116.79
2025-07-05,电子,付费推广,497,1644,82.5,0.3633,79,10,0.0201,39,12596.98,60,1,287.5,323.0,209.95
2025-07-05,电子,推荐,361,1036,103.4,0.4807,65,9,0.0249,39,12596.98,60,1,287.5,323.0,209.95
2025-07-05,电子,直接访问,172,453,73.2,0.4887,27,3,0.0174,39,12596.98,60,1,287.5,323.0,209.95
2025-07-05,电子,直播,275,615,112.1,0.4879,35,6,0.0218,39,12596.98,60,1,287.5,323.0,209.95
2025-07-05,电子,自然搜索,599,1986,65.4,0.3503,82,10,0.0167,39,12596.98,60,1,287.5,323.0,209.95
2025-07-05,美妆,付费推广,816,2300,118.4,0.327,108,33,0.0404,135,18581.7,207,7,850.73,137.64,89.77
2025-07-05,美妆,推荐,692,1828,90.6,0.3717,110,29,0.0419,135,18581.7,207,7,850.73,137.64,89.77
2025-07-05,美妆,直接访问,328,757,67.7,0.3186,40,10,0.0305,135,18581.7,207,7,850.73,137.64,89.77
2025-07-05,美妆,直播,549,1859,100.7,0.409,88,17,0.031,135,18581.7,207,7,850.73,137.64,89.77
2025-07-05,美妆,自然搜索,1102,3596,67.7,0.3509,184,50,0.0454,135,18581.7,207,7,850.73,137.64,89.77
2025-07-05,食品,付费推广,723,2120,75.5,0.5083,127,28,0.0387,132,7643.26,201,10,578.65,57.9,38.03
2025-07-05,食品,推荐,558,1332,77.8,0.4428,68,25,0.0448,132,7643.26,201,10,578.65,57.9,38.03
2025-07-05,食品,直接访问,323,927,88.3,0.3102,59,12,0.0372,132,7643.26,201,10,578.65,57.9,38.03
2025-07-05,食品,直播,440,1379,109.2,0.4839,56,19,0.0432,132,7643.26,201,10,578.65,57.9,38.03
2025-07-05,食品,自然搜索,849,2829,71.4,0.4294,134,39,0.0459,132,7643.26,201,10,578.65,57.9,38.03
2025-07-06,服装,付费推广,557,1848,63.3,0.4105,99,17,0.0305,64,10217.37,99,3,448.2,159.65,103.21
2025-07-06,服装,推荐,414,1380,98.7,0.3264,54,12,0.029,64,10217.37,99,3,448.2,159.65,103.21
2025-07-06,服装,直接访问,210,540,115.5,0.3046,28,5,0.0238,64,10217.37,99,3,448.2,159.65,103.21
2025-07-06,服装,直播,279,755,77.1,0.3826,50,8,0.0287,64,10217.37,99,3,448.2,159.65,103.21
2025-07-06,服装,自然搜索,639,1987,113.2,0.3261,89,19,0.0297,64,10217.37,99,3,448.2,159.65,103.21
2025-07-06,电子,付费推广,383,914,74.9,0.4978,58,7,0.0183,33,10624.46,44,1,278.3,321.95,241.46
2025-07-06,电子,推荐,296,842,51.3,0.4931,44,5,0.0169,33,10624.46,44,1,278.3,321.95,241.46
2025-07-06,电子,直接访问,141,318,104.2,0.5035,24,2,0.0142,33,10624.46,44,1,278.3,321.95,241.46
2025-07-06,电子,直播,228,539,77.8,0.3657,40,5,0.0219,33,10624.46,44,1,278.3,321.95,241.46
2025-07-06,电子,自然搜索,475,1503,65.5,0.3686,58,9,0.0189,33,10624.46,44,1,278.3,321.95,241.46
2025-07-06,美妆,付费推广,934,2697,115.7,0.4679,157,31,0.0332,123,17670.04,184,3,366.54,143.66,96.03
2025-07-06,美妆,推荐,780,1795,79.3,0.4102,146,30,0.0385,123,17670.04,184,3,366.54,143.66,96.03
2025-07-06,美妆,直接访问,367,1176,91.5,0.3467,45,15,0.0409,123,17670.04,184,3,366.54,143.66,96.03
2025-07-06,美妆,直播,491,1374,56.6,0.5472,93,17,0.0346,123,17670.04,184,3,366.54,143.66,96.03
2025-07-06,美妆,自然搜索,982,3051,63.2,0.4174,166,48,0.0489,123,17670.04,184,3,366.54,143.66,96.03
