日期,品类,竞品店铺,竞品商品名,竞品售价,竞品促销,竞品估算销量,本店对标SKU,本店售价
2025-07-01,服装,竞品D旗舰店,同款连衣裙(竞品D),233.96,,2911,SKU_服_001,269
2025-07-01,服装,竞品E旗舰店,同款T恤(竞品E),95.78,,1250,SKU_服_002,129
2025-07-02,服装,竞品D旗舰店,同款连衣裙(竞品D),234.29,,2000,SKU_服_001,269
2025-07-02,服装,竞品E旗舰店,同款T恤(竞品E),97.81,,2764,SKU_服_002,129
2025-07-03,服装,竞品D旗舰店,同款连衣裙(竞品D),229.19,,2765,SKU_服_001,269
2025-07-03,服装,竞品E旗舰店,同款T恤(竞品E),97.24,,976,SKU_服_002,129
2025-07-04,服装,竞品D旗舰店,同款连衣裙(竞品D),226.25,,1973,SKU_服_001,269
2025-07-04,服装,竞品E旗舰店,同款T恤(竞品E),101.07,,1796,SKU_服_002,129
2025-07-05,服装,竞品D旗舰店,同款连衣裙(竞品D),222.42,,2245,SKU_服_001,269
2025-07-05,服装,竞品E旗舰店,同款T恤(竞品E),99.14,,1423,SKU_服_002,129
2025-07-06,服装,竞品D旗舰店,同款连衣裙(竞品D),232.16,,2107,SKU_服_001,269
2025-07-06,服装,竞品E旗舰店,同款T恤(竞品E),98.78,,2736,SKU_服_002,129
2025-07-07,服装,竞品D旗舰店,同款连衣裙(竞品D),233.44,,2442,SKU_服_001,269
2025-07-07,服装,竞品E旗舰店,同款T恤(竞品E),98.43,,1508,SKU_服_002,129
2025-07-08,服装,竞品D旗舰店,同款连衣裙(竞品D),228.94,,2284,SKU_服_001,269
2025-07-08,服装,竞品E旗舰店,同款T恤(竞品E),96.43,,2437,SKU_服_002,129
2025-07-09,服装,竞品D旗舰店,同款连衣裙(竞品D),230.85,,2932,SKU_服_001,269
2025-07-09,服装,竞品E旗舰店,同款T恤(竞品E),99.72,,1115,SKU_服_002,129
2025-07-10,服装,竞品D旗舰店,同款连衣裙(竞品D),228.29,,1356,SKU_服_001,269
2025-07-10,服装,竞品E旗舰店,同款T恤(竞品E),100.72,,1029,SKU_服_002,129
2025-07-11,服装,竞品D旗舰店,同款连衣裙(竞品D),228.95,,1813,SKU_服_001,269
2025-07-11,服装,竞品E旗舰店,同款T恤(竞品E),99.04,,1691,SKU_服_002,129
2025-07-12,服装,竞品D旗舰店,同款连衣裙(竞品D),228.11,,2319,SKU_服_001,269
2025-07-12,服装,竞品E旗舰店,同款T恤(竞品E),100.57,,1302,SKU_服_002,129
2025-07-13,服装,竞品D旗舰店,同款连衣裙(竞品D),225.0,,1204,SKU_服_001,269
2025-07-13,服装,竞品E旗舰店,同款T恤(竞品E),99.76,,2873,SKU_服_002,129
