日期,商品编码,商品名称,品类,仓库,可用库存,锁定库存,入库量,平均发货时长(小时),是否缺货
2025-07-01,SKU_美_001,美妆商品1,美妆,华东仓,787,20,27,14.9,False
2025-07-01,SKU_美_002,美妆商品2,美妆,华东仓,127,32,92,15.3,False
2025-07-01,SKU_美_003,美妆商品3,美妆,华东仓,158,45,262,18.0,False
2025-07-01,SKU_美_004,美妆商品4,美妆,华东仓,201,36,299,17.8,False
2025-07-01,SKU_美_005,美妆商品5,美妆,华东仓,190,38,87,13.2,False
2025-07-01,SKU_美_001,美妆商品1,美妆,华南仓,279,20,91,15.9,False
2025-07-01,SKU_美_002,美妆商品2,美妆,华南仓,134,9,238,18.2,False
2025-07-01,SKU_美_003,美妆商品3,美妆,华南仓,148,40,287,17.1,False
2025-07-01,SKU_美_004,美妆商品4,美妆,华南仓,581,37,197,18.1,False
2025-07-01,SKU_美_005,美妆商品5,美妆,华南仓,367,25,37,16.5,False
2025-07-01,SKU_美_001,美妆商品1,美妆,华北仓,714,28,131,19.1,False
2025-07-01,SKU_美_002,美妆商品2,美妆,华北仓,107,12,8,22.0,False
2025-07-01,SKU_美_003,美妆商品3,美妆,华北仓,378,42,192,21.0,False
2025-07-01,SKU_美_004,美妆商品4,美妆,华北仓,134,24,104,22.1,False
2025-07-01,SKU_美_005,美妆商品5,美妆,华北仓,154,15,153,18.1,False
2025-07-01,SKU_食_001,食品商品1,食品,华东仓,652,47,31,15.6,False
2025-07-01,SKU_食_002,食品商品2,食品,华东仓,349,15,124,18.8,False
2025-07-01,SKU_食_003,食品商品3,食品,华东仓,446,48,79,14.3,False
2025-07-01,SKU_食_004,食品商品4,食品,华东仓,272,9,120,21.9,False
2025-07-01,SKU_食_005,食品商品5,食品,华东仓,623,35,227,22.3,False
2025-07-01,SKU_食_001,食品商品1,食品,华南仓,238,14,199,17.5,False
2025-07-01,SKU_食_002,食品商品2,食品,华南仓,117,20,57,21.5,False
2025-07-01,SKU_食_003,食品商品3,食品,华南仓,727,26,207,17.2,False
2025-07-01,SKU_食_004,食品商品4,食品,华南仓,541,34,145,17.1,False
2025-07-01,SKU_食_005,食品商品5,食品,华南仓,650,16,273,23.9,False
2025-07-01,SKU_食_001,食品商品1,食品,华北仓,389,10,292,16.9,False
2025-07-01,SKU_食_002,食品商品2,食品,华北仓,759,6,126,13.3,False
2025-07-01,SKU_食_003,食品商品3,食品,华北仓,450,11,87,15.8,False
2025-07-01,SKU_食_004,食品商品4,食品,华北仓,571,37,165,23.6,False
2025-07-01,SKU_食_005,食品商品5,食品,华北仓,279,13,35,19.4,False
2025-07-01,SKU_电_001,电子商品1,电子,华东仓,146,12,294,16.1,False
2025-07-01,SKU_电_002,电子商品2,电子,华东仓,775,17,261,15.0,False
2025-07-01,SKU_电_003,电子商品3,电子,华东仓,282,30,278,22.0,False
2025-07-01,SKU_电_004,电子商品4,电子,华东仓,656,15,66,19.5,False
2025-07-01,SKU_电_005,电子商品5,电子,华东仓,706,29,224,16.6,False
2025-07-01,SKU_电_001,电子商品1,电子,华南仓,556,40,110,23.6,False
2025-07-01,SKU_电_002,电子商品2,电子,华南仓,399,5,176,19.7,False
2025-07-01,SKU_电_003,电子商品3,电子,华南仓,539,21,43,18.1,False
2025-07-01,SKU_电_004,电子商品4,电子,华南仓,534,22,89,19.2,False
2025-07-01,SKU_电_005,电子商品5,电子,华南仓,758,42,58,19.5,False
2025-07-01,SKU_电_001,电子商品1,电子,华北仓,555,42,28,21.7,False
2025-07-01,SKU_电_002,电子商品2,电子,华北仓,666,33,220,12.3,False
2025-07-01,SKU_电_003,电子商品3,电子,华北仓,227,25,17,17.9,False
2025-07-01,SKU_电_004,电子商品4,电子,华北仓,525,48,20,19.9,False
2025-07-01,SKU_电_005,电子商品5,电子,华北仓,246,26,174,19.2,False
2025-07-01,SKU_服_001,服装商品1,服装,华东仓,135,13,295,17.9,False
2025-07-01,SKU_服_002,服装商品2,服装,华东仓,321,42,174,20.7,False
2025-07-01,SKU_服_003,服装商品3,服装,华东仓,247,31,84,13.2,False
2025-07-01,SKU_服_004,服装商品4,服装,华东仓,198,36,31,17.1,False
2025-07-01,SKU_服_005,服装商品5,服装,华东仓,432,48,126,12.3,False
2025-07-01,SKU_服_001,服装商品1,服装,华南仓,290,44,264,22.2,False
2025-07-01,SKU_服_002,服装商品2,服装,华南仓,160,31,47,13.9,False
2025-07-01,SKU_服_003,服装商品3,服装,华南仓,269,40,274,21.1,False
2025-07-01,SKU_服_004,服装商品4,服装,华南仓,345,49,218,16.7,False
2025-07-01,SKU_服_005,服装商品5,服装,华南仓,520,41,189,15.5,False
2025-07-01,SKU_服_001,服装商品1,服装,华北仓,282,28,192,17.9,False
2025-07-01,SKU_服_002,服装商品2,服装,华北仓,729,45,282,23.0,False
2025-07-01,SKU_服_003,服装商品3,服装,华北仓,342,7,136,16.3,False
2025-07-01,SKU_服_004,服装商品4,服装,华北仓,632,44,67,23.4,False
2025-07-01,SKU_服_005,服装商品5,服装,华北仓,590,11,103,18.8,False
2025-07-02,SKU_美_001,美妆商品1,美妆,华东仓,413,38,128,21.2,False
2025-07-02,SKU_美_002,美妆商品2,美妆,华东仓,357,29,162,19.6,False
2025-07-02,SKU_美_003,美妆商品3,美妆,华东仓,556,40,152,16.7,False
2025-07-02,SKU_美_004,美妆商品4,美妆,华东仓,417,28,245,16.2,False
2025-07-02,SKU_美_005,美妆商品5,美妆,华东仓,309,32,40,20.3,False
2025-07-02,SKU_美_001,美妆商品1,美妆,华南仓,595,10,30,13.4,False
2025-07-02,SKU_美_002,美妆商品2,美妆,华南仓,303,34,56,14.9,False
2025-07-02,SKU_美_003,美妆商品3,美妆,华南仓,599,22,134,22.8,False
2025-07-02,SKU_美_004,美妆商品4,美妆,华南仓,308,16,56,13.8,False
2025-07-02,SKU_美_005,美妆商品5,美妆,华南仓,162,8,57,17.8,False
2025-07-02,SKU_美_001,美妆商品1,美妆,华北仓,486,39,276,16.5,False
2025-07-02,SKU_美_002,美妆商品2,美妆,华北仓,418,39,258,18.7,False
2025-07-02,SKU_美_003,美妆商品3,美妆,华北仓,329,25,280,21.3,False
2025-07-02,SKU_美_004,美妆商品4,美妆,华北仓,678,30,56,13.9,False
2025-07-02,SKU_美_005,美妆商品5,美妆,华北仓,370,41,235,12.3,False
2025-07-02,SKU_食_001,食品商品1,食品,华东仓,557,5,170,20.6,False
2025-07-02,SKU_食_002,食品商品2,食品,华东仓,500,8,78,19.8,False
2025-07-02,SKU_食_003,食品商品3,食品,华东仓,541,38,35,20.4,False
2025-07-02,SKU_食_004,食品商品4,食品,华东仓,698,5,139,22.7,False
2025-07-02,SKU_食_005,食品商品5,食品,华东仓,612,17,19,16.1,False
2025-07-02,SKU_食_001,食品商品1,食品,华南仓,792,28,288,16.1,False
