退款单号,订单编号,申请时间,商品编码,商品名称,品类,refund_type,退款原因,退款金额,退款状态
RF20250701000051,京20250701334381,2025-07-01 15:05:00,SKU_美_008,美妆商品5,美妆,仅退款,物流太慢,116.52,已完成
RF20250701000052,京20250701222190,2025-07-01 20:25:00,SKU_美_003,美妆商品8,美妆,仅退款,不想要了,148.09,已完成
RF20250701000053,京20250701320325,2025-07-01 16:30:00,SKU_美_004,美妆商品11,美妆,退货退款,与描述不符,148.58,处理中
RF20250701000054,京20250701575883,2025-07-01 08:06:00,SKU_美_003,美妆商品1,美妆,仅退款,与描述不符,155.24,处理中
RF20250701000055,京20250701225851,2025-07-01 17:23:00,SKU_美_006,美妆商品2,美妆,仅退款,物流太慢,132.71,处理中
RF20250701000056,京20250701245206,2025-07-01 17:12:00,SKU_食_009,食品商品8,食品,退货退款,质量问题,44.38,已完成
RF20250701000057,京20250701647071,2025-07-01 08:48:00,SKU_食_007,食品商品18,食品,退货退款,不想要了,45.95,已完成
RF20250701000058,京20250701952652,2025-07-01 15:16:00,SKU_食_002,食品商品3,食品,退货退款,不想要了,53.76,已完成
RF20250701000059,京20250701420879,2025-07-01 08:10:00,SKU_食_002,食品商品9,食品,仅退款,物流太慢,56.07,已完成
RF20250701000060,京20250701295596,2025-07-01 16:02:00,SKU_食_007,食品商品17,食品,退货退款,质量问题,54.52,处理中
RF20250701000061,京20250701005944,2025-07-01 20:14:00,SKU_食_007,食品商品16,食品,退货退款,不想要了,39.67,已完成
RF20250701000062,京20250701062164,2025-07-01 19:41:00,SKU_食_009,食品商品17,食品,仅退款,尺码不合适,47.32,已完成
RF20250701000063,京20250701267604,2025-07-01 12:22:00,SKU_食_005,食品商品6,食品,仅退款,质量问题,50.86,处理中
RF20250701000064,京20250701561045,2025-07-01 15:06:00,SKU_食_002,食品商品8,食品,仅退款,物流太慢,71.61,已完成
RF20250701000065,京20250701791914,2025-07-01 21:42:00,SKU_食_005,食品商品4,食品,仅退款,尺码不合适,49.36,已拒绝
RF20250701000066,京20250701002069,2025-07-01 18:39:00,SKU_食_001,食品商品3,食品,仅退款,物流太慢,47.78,已完成
RF20250701000067,京20250701756979,2025-07-01 17:32:00,SKU_食_007,食品商品19,食品,仅退款,质量问题,59.73,已完成
RF20250701000068,京20250701075826,2025-07-01 18:49:00,SKU_食_001,食品商品8,食品,退货退款,不想要了,48.04,已完成
RF20250701000069,京20250701012228,2025-07-01 13:26:00,SKU_食_002,食品商品1,食品,仅退款,物流太慢,55.81,处理中
RF20250701000070,京20250701294517,2025-07-01 14:48:00,SKU_电_008,电子商品9,电子,退货退款,尺码不合适,505.35,已完成
RF20250701000071,京20250701864057,2025-07-01 12:28:00,SKU_电_009,电子商品6,电子,仅退款,物流太慢,413.64,已完成
RF20250701000072,京20250701238959,2025-07-01 15:56:00,SKU_电_003,电子商品14,电子,仅退款,不想要了,529.51,处理中
RF20250701000073,京20250701943872,2025-07-01 13:33:00,SKU_电_007,电子商品5,电子,仅退款,质量问题,450.57,已完成
RF20250701000074,京20250701311410,2025-07-01 15:50:00,SKU_电_008,电子商品16,电子,仅退款,物流太慢,456.58,已完成
RF20250701000075,京20250701415115,2025-07-01 12:07:00,SKU_电_004,电子商品14,电子,退货退款,尺码不合适,466.15,处理中
RF20250701000076,京20250701352197,2025-07-01 10:26:00,SKU_电_004,电子商品16,电子,仅退款,质量问题,408.52,已完成
RF20250701000077,京20250701989849,2025-07-01 20:02:00,SKU_电_003,电子商品6,电子,退货退款,质量问题,415.37,处理中
RF20250701000078,京20250701433555,2025-07-01 15:47:00,SKU_电_006,电子商品7,电子,仅退款,物流太慢,361.64,已完成
RF20250701000079,京20250701083243,2025-07-01 09:19:00,SKU_电_001,电子商品12,电子,退货退款,不想要了,479.86,已完成
RF20250701000080,京20250701278600,2025-07-01 11:53:00,SKU_电_002,电子商品14,电子,仅退款,尺码不合适,425.77,已完成
RF20250701000081,京20250701203625,2025-07-01 14:08:00,SKU_电_007,电子商品19,电子,退货退款,与描述不符,363.1,已完成
RF20250701000082,京20250701051503,2025-07-01 12:25:00,SKU_服_003,服装商品19,服装,仅退款,不想要了,179.78,已完成
RF20250701000083,京20250701383150,2025-07-01 13:07:00,SKU_服_001,服装商品2,服装,仅退款,不想要了,217.04,处理中
RF20250701000084,京20250701760981,2025-07-01 19:30:00,SKU_服_007,服装商品19,服装,仅退款,尺码不合适,210.46,已完成
RF20250701000085,京20250701652393,2025-07-01 12:25:00,SKU_服_008,服装商品12,服装,仅退款,物流太慢,161.03,处理中
RF20250701000086,京20250701257412,2025-07-01 14:20:00,SKU_服_001,服装商品8,服装,退货退款,物流太慢,175.2,已完成
RF20250701000087,京20250701726420,2025-07-01 10:02:00,SKU_服_005,服装商品7,服装,退货退款,与描述不符,205.48,已完成
RF20250702000203,京20250702159034,2025-07-02 08:38:00,SKU_美_001,美妆商品17,美妆,退货退款,不想要了,128.63,已完成
RF20250702000204,京20250702598845,2025-07-02 19:07:00,SKU_美_002,美妆商品1,美妆,仅退款,尺码不合适,179.9,已完成
RF20250702000205,京20250702715912,2025-07-02 11:40:00,SKU_美_006,美妆商品3,美妆,仅退款,物流太慢,136.86,已完成
RF20250702000206,京20250702143082,2025-07-02 09:32:00,SKU_美_002,美妆商品14,美妆,退货退款,不想要了,156.21,已完成
RF20250702000207,京20250702144145,2025-07-02 12:34:00,SKU_食_006,食品商品6,食品,退货退款,物流太慢,49.94,已完成
RF20250702000208,京20250702790276,2025-07-02 10:06:00,SKU_食_006,食品商品13,食品,退货退款,物流太慢,60.23,已完成
RF20250702000209,京20250702873853,2025-07-02 09:17:00,SKU_食_002,食品商品13,食品,退货退款,质量问题,59.16,处理中
RF20250702000210,京20250702482436,2025-07-02 11:40:00,SKU_食_008,食品商品10,食品,仅退款,尺码不合适,48.51,已拒绝
RF20250702000211,京20250702165732,2025-07-02 16:58:00,SKU_食_001,食品商品11,食品,退货退款,不想要了,40.97,已拒绝
RF20250702000212,京20250702242522,2025-07-02 21:15:00,SKU_食_001,食品商品2,食品,仅退款,不想要了,63.19,已完成
RF20250702000213,京20250702295053,2025-07-02 20:03:00,SKU_食_007,食品商品9,食品,退货退款,尺码不合适,55.85,已完成
RF20250702000214,京20250702287315,2025-07-02 18:29:00,SKU_食_009,食品商品18,食品,退货退款,与描述不符,61.64,已完成
RF20250702000215,京20250702419542,2025-07-02 11:38:00,SKU_食_005,食品商品17,食品,仅退款,物流太慢,51.55,已完成
RF20250702000216,京20250702152778,2025-07-02 15:21:00,SKU_电_009,电子商品16,电子,仅退款,质量问题,413.45,已完成
RF20250702000217,京20250702964170,2025-07-02 13:39:00,SKU_电_002,电子商品11,电子,仅退款,不想要了,484.75,处理中
RF20250702000218,京20250702078185,2025-07-02 20:34:00,SKU_电_003,电子商品9,电子,退货退款,与描述不符,367.23,已完成
RF20250702000219,京20250702855934,2025-07-02 12:38:00,SKU_电_001,电子商品6,电子,退货退款,质量问题,315.36,已完成
RF20250702000220,京20250702748679,2025-07-02 18:58:00,SKU_电_007,电子商品16,电子,退货退款,尺码不合适,348.07,已完成
RF20250702000221,京20250702005948,2025-07-02 17:53:00,SKU_电_002,电子商品10,电子,退货退款,物流太慢,457.71,已完成
RF20250702000222,京20250702696638,2025-07-02 19:44:00,SKU_电_007,电子商品7,电子,退货退款,与描述不符,488.72,已完成
RF20250702000223,京20250702036707,2025-07-02 10:45:00,SKU_电_005,电子商品5,电子,仅退款,物流太慢,500.18,已完成
RF20250702000224,京20250702283043,2025-07-02 11:52:00,SKU_电_008,电子商品13,电子,仅退款,质量问题,431.43,处理中
RF20250702000225,京20250702725008,2025-07-02 13:02:00,SKU_电_001,电子商品2,电子,仅退款,物流太慢,342.29,已完成
RF20250702000226,京20250702597515,2025-07-02 10:49:00,SKU_电_001,电子商品6,电子,退货退款,质量问题,404.06,已完成
RF20250702000227,京20250702881861,2025-07-02 14:29:00,SKU_服_001,服装商品2,服装,仅退款,尺码不合适,194.05,已完成
RF20250702000228,京20250702500658,2025-07-02 21:01:00,SKU_服_007,服装商品9,服装,仅退款,与描述不符,184.65,已完成
RF20250702000229,京20250702288742,2025-07-02 13:50:00,SKU_服_009,服装商品15,服装,退货退款,尺码不合适,238.22,处理中
RF20250702000230,京20250702949101,2025-07-02 11:27:00,SKU_服_009,服装商品15,服装,仅退款,质量问题,167.25,已完成
RF20250702000231,京20250702099646,2025-07-02 21:34:00,SKU_服_004,服装商品5,服装,退货退款,尺码不合适,143.46,已完成
RF20250702000232,京20250702396311,2025-07-02 14:28:00,SKU_服_007,服装商品19,服装,仅退款,质量问题,215.13,处理中
RF20250703000334,京20250703621369,2025-07-03 21:38:00,SKU_美_003,美妆商品2,美妆,仅退款,尺码不合适,154.35,处理中
RF20250703000335,京20250703636144,2025-07-03 14:15:00,SKU_美_004,美妆商品18,美妆,仅退款,物流太慢,111.59,处理中
RF20250703000336,京20250703973326,2025-07-03 15:48:00,SKU_美_002,美妆商品14,美妆,仅退款,尺码不合适,104.01,已完成
RF20250703000337,京20250703558074,2025-07-03 20:42:00,SKU_美_005,美妆商品13,美妆,仅退款,不想要了,127.37,处理中
RF20250703000338,京20250703298805,2025-07-03 15:38:00,SKU_美_003,美妆商品16,美妆,仅退款,与描述不符,164.74,已完成
RF20250703000339,京20250703325691,2025-07-03 10:26:00,SKU_美_007,美妆商品1,美妆,退货退款,与描述不符,135.85,已完成
RF20250703000340,京20250703782065,2025-07-03 10:49:00,SKU_食_002,食品商品15,食品,仅退款,与描述不符,47.7,已完成
