日期,商品编码,商品名称,品类,商品访客数,product_pv,加购人数,支付订单数,支付金额,支付转化率,上架状态,listing_price,actual_selling_price,review_score,review_count
2025-07-01,SKU_美_001,美妆热卖商品1,美妆,2508,6754,255,54,5766.66,0.0215,在售,157.0,106.79,4.4,4854
2025-07-01,SKU_美_002,美妆热卖商品2,美妆,1830,4442,194,35,5342.05,0.0191,在售,218.0,152.63,4.9,314
2025-07-01,SKU_美_003,美妆热卖商品3,美妆,1972,4653,295,40,7008.0,0.0203,在售,221.0,175.2,4.2,866
2025-07-01,SKU_美_004,美妆热卖商品4,美妆,1469,4024,164,33,4605.15,0.0225,在售,208.0,139.55,4.6,2928
2025-07-01,SKU_美_005,美妆热卖商品5,美妆,2058,4120,423,49,4618.74,0.0238,在售,144.0,94.26,4.3,2585
2025-07-01,SKU_美_006,美妆热卖商品6,美妆,2339,6106,430,44,6707.8,0.0188,在售,199.0,152.45,4.3,3779
2025-07-01,SKU_美_007,美妆热卖商品7,美妆,1393,3765,285,27,3676.32,0.0194,在售,180.0,136.16,4.8,1088
2025-07-01,SKU_美_008,美妆热卖商品8,美妆,2476,6219,273,57,9397.59,0.023,在售,227.0,164.87,4.7,1713
2025-07-01,SKU_美_009,美妆热卖商品9,美妆,1034,2089,131,23,3691.96,0.0222,在售,214.0,160.52,4.8,2418
2025-07-01,SKU_美_010,美妆热卖商品10,美妆,1296,3501,204,28,3000.76,0.0216,在售,160.0,107.17,4.3,969
2025-07-01,SKU_服_001,服装热卖商品1,服装,1417,3489,271,43,7547.36,0.0303,在售,244.0,175.52,4.3,4990
2025-07-01,SKU_服_002,服装热卖商品2,服装,1961,5415,266,44,7090.16,0.0224,在售,225.0,161.14,4.5,270
2025-07-01,SKU_服_003,服装热卖商品3,服装,1285,3383,158,32,4870.72,0.0249,在售,227.0,152.21,4.2,4031
2025-07-01,SKU_服_004,服装热卖商品4,服装,678,1456,147,17,3414.96,0.0251,在售,267.0,200.88,4.5,2826
2025-07-01,SKU_服_005,服装热卖商品5,服装,1045,2866,205,23,3334.54,0.022,在售,208.0,144.98,4.7,2129
2025-07-01,SKU_服_006,服装热卖商品6,服装,1137,2860,248,23,4881.75,0.0202,在售,255.0,212.25,4.3,703
2025-07-01,SKU_服_007,服装热卖商品7,服装,789,1915,82,18,3175.2,0.0228,在售,251.0,176.4,4.2,2976
2025-07-01,SKU_服_008,服装热卖商品8,服装,1850,3909,326,46,7026.04,0.0249,在售,221.0,152.74,4.5,513
2025-07-01,SKU_服_009,服装热卖商品9,服装,741,1595,98,16,2959.2,0.0216,在售,263.0,184.95,4.5,4790
2025-07-01,SKU_服_010,服装热卖商品10,服装,1692,5046,299,40,6239.6,0.0236,在售,205.0,155.99,4.2,1558
2025-07-02,SKU_美_001,美妆热卖商品1,美妆,1346,2698,261,37,4818.14,0.0275,在售,157.0,130.22,4.4,4854
2025-07-02,SKU_美_002,美妆热卖商品2,美妆,1432,3503,153,32,5754.56,0.0223,在售,218.0,179.83,4.9,314
2025-07-02,SKU_美_003,美妆热卖商品3,美妆,801,1845,146,17,2619.7,0.0212,在售,221.0,154.1,4.2,866
2025-07-02,SKU_美_004,美妆热卖商品4,美妆,736,1560,89,15,2095.2,0.0204,在售,208.0,139.68,4.6,2928
2025-07-02,SKU_美_005,美妆热卖商品5,美妆,672,1626,98,13,1334.32,0.0193,在售,144.0,102.64,4.3,2585
